x0000,y0000
19.6078431373,6.
58.8235294118,13.
98.0392156863,18.
137.2549019608,55.
176.4705882353,70.
215.6862745098,76.
254.9019607843,76.
294.1176470588,101.
333.3333333333,95.
372.5490196078,91.
411.7647058824,60.
450.9803921569,63.
490.1960784314,54.
529.4117647059,42.
568.6274509804,42.
607.8431372549,50.
647.0588235294,53.
686.2745098039,44.
725.4901960784,26.
764.7058823529,16.
803.9215686275,13.
843.137254902,12.
882.3529411765,22.
921.568627451,69.
960.7843137255,220.
1000.0000000000,200.
1039.2156862745,51.
1078.4313725490,3.
1117.6470588235,1.
1156.8627450980,4.
1196.0784313725,1.
1235.2941176471,5.
1274.5098039216,1.
1313.7254901961,1.
1352.9411764706,2.
1392.1568627451,1.
1431.3725490196,3.
1470.5882352941,0.
1509.8039215686,1.
1549.0196078431,1.
1588.2352941176,0.
1627.4509803922,1.
1666.6666666667,0.
1705.8823529412,0.
1745.0980392157,1.
1784.3137254902,0.
1823.5294117647,1.
1862.7450980392,1.
1901.9607843137,1.
1941.1764705882,1.
1980.3921568627,0.
2019.6078431373,0.
2058.8235294118,0.
2098.0392156863,1.
2137.2549019608,1.
2176.4705882353,0.
2215.6862745098,0.
2254.9019607843,0.
2294.1176470588,0.
2333.3333333333,0.
2372.5490196078,0.
2411.7647058824,0.
2450.9803921569,0.
2490.1960784314,0.
2529.4117647059,0.
2568.6274509804,0.
2607.8431372549,0.
2647.0588235294,0.
2686.2745098039,0.
2725.4901960784,0.
2764.7058823529,0.
2803.9215686275,0.
2843.137254902,0.
2882.3529411765,0.
2921.568627451,0.
2960.7843137255,0.
3000.,0.
3039.2156862745,0.
3078.4313725490,0.
3117.6470588235,0.
3156.8627450980,0.
3196.0784313725,0.
3235.2941176471,0.
3274.5098039216,0.
3313.7254901961,0.
3352.9411764706,0.
3392.1568627451,0.
3431.3725490196,0.
3470.5882352941,0.
3509.8039215686,0.
3549.0196078431,0.
3588.2352941176,0.
3627.4509803922,0.
3666.6666666667,0.
3705.8823529412,0.
3745.0980392157,0.
3784.3137254902,0.
3823.5294117647,0.
3862.7450980392,0.
3901.9607843137,0.
3941.1764705882,0.
3980.3921568627,0.
4019.6078431373,0.
4058.8235294118,0.
4098.0392156863,0.
4137.2549019608,0.
4176.4705882353,0.
4215.6862745098,0.
4254.9019607843,0.
4294.1176470588,0.
4333.3333333333,0.
4372.5490196078,0.
4411.7647058824,0.
4450.9803921569,0.
4490.1960784314,0.
4529.4117647059,0.
4568.6274509804,0.
4607.8431372549,0.
4647.0588235294,0.
4686.2745098039,0.
4725.4901960784,0.
4764.7058823529,0.
4803.9215686275,0.
4843.137254902,0.
4882.3529411765,0.
4921.568627451,0.
4960.7843137255,0.
5000.,0.
5039.2156862745,0.
5078.4313725490,0.
5117.6470588235,0.
5156.8627450980,0.
5196.0784313725,0.
5235.2941176471,0.
5274.5098039216,0.
5313.7254901961,0.
5352.9411764706,0.
5392.1568627451,0.
5431.3725490196,0.
5470.5882352941,0.
5509.8039215686,0.
5549.0196078431,0.
5588.2352941176,0.
5627.4509803922,0.
5666.6666666667,0.
5705.8823529412,0.
5745.0980392157,0.
5784.3137254902,0.
5823.5294117647,0.
5862.7450980392,0.
5901.9607843137,0.
5941.1764705882,0.
5980.3921568627,0.
6019.6078431373,0.
6058.8235294118,0.
6098.0392156863,0.
6137.2549019608,0.
6176.4705882353,0.
6215.6862745098,0.
6254.9019607843,0.
6294.1176470588,0.
6333.3333333333,0.
6372.5490196078,0.
6411.7647058824,0.
6450.9803921569,0.
6490.1960784314,0.
6529.4117647059,0.
6568.6274509804,0.
6607.8431372549,0.
6647.0588235294,0.
6686.2745098039,0.
6725.4901960784,0.
6764.7058823529,0.
6803.9215686275,0.
6843.137254902,0.
6882.3529411765,0.
6921.568627451,0.
6960.7843137255,0.
7000.,0.
7039.2156862745,0.
7078.4313725490,0.
7117.6470588235,0.
7156.8627450980,0.
7196.0784313725,0.
7235.2941176471,0.
7274.5098039216,0.
7313.7254901961,0.
7352.9411764706,0.
7392.1568627451,0.
7431.3725490196,0.
7470.5882352941,0.
7509.8039215686,0.
7549.0196078431,0.
7588.2352941176,0.
7627.4509803922,0.
7666.6666666667,0.
7705.8823529412,0.
7745.0980392157,0.
7784.3137254902,0.
7823.5294117647,0.
7862.7450980392,0.
7901.9607843137,0.
7941.1764705882,0.
7980.3921568627,0.
8019.6078431373,0.
8058.8235294118,0.
8098.0392156863,0.
8137.2549019608,0.
8176.4705882353,0.
8215.6862745098,0.
8254.9019607843,0.
8294.1176470588,0.
8333.3333333333,0.
8372.5490196078,0.
8411.7647058824,0.
8450.9803921569,0.
8490.1960784314,0.
8529.4117647059,0.
8568.6274509804,0.
8607.8431372549,0.
8647.0588235294,0.
8686.2745098039,0.
8725.4901960784,0.
8764.7058823529,0.
8803.9215686275,0.
8843.137254902,0.
8882.3529411765,0.
8921.568627451,0.
8960.7843137255,0.
9000.,0.
9039.2156862745,0.
9078.4313725490,0.
9117.6470588235,0.
9156.8627450980,0.
9196.0784313725,0.
9235.2941176471,0.
9274.5098039216,0.
9313.7254901961,0.
9352.9411764706,0.
9392.1568627451,0.
9431.3725490196,0.
9470.5882352941,0.
9509.8039215686,0.
9549.0196078431,0.
9588.2352941176,0.
9627.4509803922,0.
9666.6666666667,0.
9705.8823529412,0.
9745.0980392157,0.
9784.3137254902,0.
9823.5294117647,0.
9862.7450980392,0.
9901.9607843137,0.
9941.1764705882,0.
9980.3921568627,0.
