x0000,y0000
19.6078431373,371.
58.8235294118,59.
98.0392156863,48.
137.2549019608,119.
176.4705882353,66.
215.6862745098,87.
254.9019607843,88.
294.1176470588,100.
333.3333333333,105.
372.5490196078,122.
411.7647058824,112.
450.9803921569,127.
490.1960784314,114.
529.4117647059,92.
568.6274509804,138.
607.8431372549,139.
647.0588235294,155.
686.2745098039,127.
725.4901960784,136.
764.7058823529,128.
803.9215686275,105.
843.137254902,84.
882.3529411765,88.
921.568627451,78.
960.7843137255,57.
1000.0000000000,71.
1039.2156862745,48.
1078.4313725490,64.
1117.6470588235,53.
1156.8627450980,60.
1196.0784313725,50.
1235.2941176471,56.
1274.5098039216,61.
1313.7254901961,40.
1352.9411764706,42.
1392.1568627451,45.
1431.3725490196,40.
1470.5882352941,32.
1509.8039215686,26.
1549.0196078431,37.
1588.2352941176,36.
1627.4509803922,53.
1666.6666666667,45.
1705.8823529412,31.
1745.0980392157,16.
1784.3137254902,18.
1823.5294117647,14.
1862.7450980392,22.
1901.9607843137,28.
1941.1764705882,53.
1980.3921568627,112.
2019.6078431373,153.
2058.8235294118,225.
2098.0392156863,204.
2137.2549019608,144.
2176.4705882353,65.
2215.6862745098,23.
2254.9019607843,10.
2294.1176470588,6.
2333.3333333333,3.
2372.5490196078,4.
2411.7647058824,3.
2450.9803921569,2.
2490.1960784314,1.
2529.4117647059,3.
2568.6274509804,2.
2607.8431372549,3.
2647.0588235294,2.
2686.2745098039,5.
2725.4901960784,6.
2764.7058823529,2.
2803.9215686275,1.
2843.137254902,2.
2882.3529411765,2.
2921.568627451,3.
2960.7843137255,2.
3000.,1.
3039.2156862745,1.
3078.4313725490,1.
3117.6470588235,0.
3156.8627450980,0.
3196.0784313725,2.
3235.2941176471,1.
3274.5098039216,1.
3313.7254901961,1.
3352.9411764706,2.
3392.1568627451,1.
3431.3725490196,0.
3470.5882352941,0.
3509.8039215686,1.
3549.0196078431,1.
3588.2352941176,1.
3627.4509803922,1.
3666.6666666667,2.
3705.8823529412,1.
3745.0980392157,1.
3784.3137254902,4.
3823.5294117647,5.
3862.7450980392,8.
3901.9607843137,5.
3941.1764705882,4.
3980.3921568627,2.
4019.6078431373,2.
4058.8235294118,2.
4098.0392156863,0.
4137.2549019608,0.
4176.4705882353,2.
4215.6862745098,0.
4254.9019607843,0.
4294.1176470588,0.
4333.3333333333,0.
4372.5490196078,1.
4411.7647058824,0.
4450.9803921569,0.
4490.1960784314,1.
4529.4117647059,0.
4568.6274509804,1.
4607.8431372549,0.
4647.0588235294,0.
4686.2745098039,0.
4725.4901960784,0.
4764.7058823529,0.
4803.9215686275,0.
4843.137254902,0.
4882.3529411765,0.
4921.568627451,0.
4960.7843137255,0.
5000.,0.
5039.2156862745,0.
5078.4313725490,0.
5117.6470588235,0.
5156.8627450980,0.
5196.0784313725,0.
5235.2941176471,0.
5274.5098039216,0.
5313.7254901961,0.
5352.9411764706,0.
5392.1568627451,0.
5431.3725490196,0.
5470.5882352941,0.
5509.8039215686,0.
5549.0196078431,0.
5588.2352941176,0.
5627.4509803922,0.
5666.6666666667,0.
5705.8823529412,0.
5745.0980392157,0.
5784.3137254902,0.
5823.5294117647,1.
5862.7450980392,0.
5901.9607843137,0.
5941.1764705882,0.
5980.3921568627,0.
6019.6078431373,0.
6058.8235294118,0.
6098.0392156863,1.
6137.2549019608,0.
6176.4705882353,0.
6215.6862745098,0.
6254.9019607843,0.
6294.1176470588,0.
6333.3333333333,0.
6372.5490196078,0.
6411.7647058824,0.
6450.9803921569,0.
6490.1960784314,0.
6529.4117647059,0.
6568.6274509804,0.
6607.8431372549,0.
6647.0588235294,0.
6686.2745098039,0.
6725.4901960784,0.
6764.7058823529,0.
6803.9215686275,0.
6843.137254902,0.
6882.3529411765,0.
6921.568627451,0.
6960.7843137255,0.
7000.,0.
7039.2156862745,0.
7078.4313725490,0.
7117.6470588235,0.
7156.8627450980,0.
7196.0784313725,0.
7235.2941176471,0.
7274.5098039216,0.
7313.7254901961,0.
7352.9411764706,0.
7392.1568627451,0.
7431.3725490196,0.
7470.5882352941,0.
7509.8039215686,0.
7549.0196078431,0.
7588.2352941176,0.
7627.4509803922,0.
7666.6666666667,0.
7705.8823529412,0.
7745.0980392157,0.
7784.3137254902,0.
7823.5294117647,0.
7862.7450980392,0.
7901.9607843137,0.
7941.1764705882,0.
7980.3921568627,0.
8019.6078431373,0.
8058.8235294118,0.
8098.0392156863,0.
8137.2549019608,0.
8176.4705882353,0.
8215.6862745098,0.
8254.9019607843,0.
8294.1176470588,0.
8333.3333333333,0.
8372.5490196078,0.
8411.7647058824,0.
8450.9803921569,0.
8490.1960784314,0.
8529.4117647059,0.
8568.6274509804,0.
8607.8431372549,0.
8647.0588235294,0.
8686.2745098039,0.
8725.4901960784,0.
8764.7058823529,0.
8803.9215686275,0.
8843.137254902,0.
8882.3529411765,0.
8921.568627451,0.
8960.7843137255,0.
9000.,0.
9039.2156862745,0.
9078.4313725490,0.
9117.6470588235,0.
9156.8627450980,0.
9196.0784313725,0.
9235.2941176471,0.
9274.5098039216,0.
9313.7254901961,0.
9352.9411764706,0.
9392.1568627451,0.
9431.3725490196,0.
9470.5882352941,0.
9509.8039215686,0.
9549.0196078431,0.
9588.2352941176,0.
9627.4509803922,0.
9666.6666666667,0.
9705.8823529412,0.
9745.0980392157,0.
9784.3137254902,0.
9823.5294117647,0.
9862.7450980392,0.
9901.9607843137,0.
9941.1764705882,0.
9980.3921568627,0.
