x0000,y0000
1.9607843137,0.
5.8823529412,0.
9.8039215686,5.
13.7254901961,10.
17.6470588235,8.
21.568627451,29.
25.4901960784,149.
29.4117647059,155.
33.3333333333,145.
37.2549019608,152.
41.1764705882,162.
45.0980392157,140.
49.0196078431,178.
52.9411764706,148.
56.8627450980,155.
60.7843137255,129.
64.7058823529,152.
68.6274509804,164.
72.5490196078,134.
76.4705882353,185.
80.3921568627,146.
84.3137254902,151.
88.2352941176,142.
92.1568627451,144.
96.0784313725,126.
100.,133.
103.9215686275,124.
107.8431372549,107.
111.7647058824,116.
115.6862745098,139.
119.6078431373,109.
123.5294117647,112.
127.4509803922,119.
131.3725490196,106.
135.2941176471,106.
139.2156862745,85.
143.137254902,112.
147.0588235294,102.
150.9803921569,107.
154.9019607843,92.
158.8235294118,100.
162.7450980392,96.
166.6666666667,115.
170.5882352941,121.
174.5098039216,111.
178.4313725490,147.
182.3529411765,143.
186.2745098039,148.
190.1960784314,124.
194.1176470588,68.
198.0392156863,71.
201.9607843137,63.
205.8823529412,68.
209.8039215686,59.
213.7254901961,57.
217.6470588235,45.
221.568627451,35.
225.4901960784,26.
229.4117647059,20.
233.3333333333,19.
237.2549019608,22.
241.1764705882,17.
245.0980392157,11.
249.0196078431,16.
252.9411764706,19.
256.8627450980,14.
260.7843137255,303.
264.7058823529,677.
268.6274509804,51.
272.5490196078,2.
276.4705882353,6.
280.3921568627,3.
284.3137254902,3.
288.2352941176,7.
292.1568627451,5.
296.0784313725,2.
300.,4.
303.9215686275,2.
307.8431372549,3.
311.7647058824,4.
315.6862745098,0.
319.6078431373,5.
323.5294117647,3.
327.4509803922,0.
331.3725490196,0.
335.2941176471,3.
339.2156862745,2.
343.137254902,1.
347.0588235294,1.
350.9803921569,0.
354.9019607843,1.
358.8235294118,2.
362.7450980392,2.
366.6666666667,3.
370.5882352941,0.
374.5098039216,4.
378.4313725490,3.
382.3529411765,0.
386.2745098039,0.
390.1960784314,2.
394.1176470588,1.
398.0392156863,3.
401.9607843137,1.
405.8823529412,0.
409.8039215686,1.
413.7254901961,1.
417.6470588235,2.
421.568627451,1.
425.4901960784,2.
429.4117647059,2.
433.3333333333,0.
437.2549019608,0.
441.1764705882,2.
445.0980392157,0.
449.0196078431,1.
452.9411764706,2.
456.8627450980,0.
460.7843137255,0.
464.7058823529,0.
468.6274509804,2.
472.5490196078,0.
476.4705882353,1.
480.3921568627,2.
484.3137254902,1.
488.2352941176,1.
492.1568627451,0.
496.0784313725,0.
500.,0.
503.9215686275,1.
507.8431372549,1.
511.7647058824,1.
515.6862745098,1.
519.6078431373,0.
523.5294117647,0.
527.4509803922,0.
531.3725490196,1.
535.2941176471,0.
539.2156862745,0.
543.137254902,0.
547.0588235294,0.
550.9803921569,0.
554.9019607843,0.
558.8235294118,0.
562.7450980392,0.
566.6666666667,0.
570.5882352941,0.
574.5098039216,0.
578.4313725490,0.
582.3529411765,0.
586.2745098039,1.
590.1960784314,0.
594.1176470588,1.
598.0392156863,0.
601.9607843137,0.
605.8823529412,0.
609.8039215686,0.
613.7254901961,0.
617.6470588235,0.
621.568627451,0.
625.4901960784,0.
629.4117647059,0.
633.3333333333,0.
637.2549019608,0.
641.1764705882,0.
645.0980392157,0.
649.0196078431,0.
652.9411764706,0.
656.8627450980,0.
660.7843137255,0.
664.7058823529,0.
668.6274509804,0.
672.5490196078,0.
676.4705882353,0.
680.3921568627,0.
684.3137254902,0.
688.2352941176,0.
692.1568627451,0.
696.0784313725,0.
700.,0.
703.9215686275,0.
707.8431372549,0.
711.7647058824,0.
715.6862745098,0.
719.6078431373,0.
723.5294117647,0.
727.4509803922,0.
731.3725490196,0.
735.2941176471,0.
739.2156862745,0.
743.137254902,0.
747.0588235294,0.
750.9803921569,0.
754.9019607843,0.
758.8235294118,0.
762.7450980392,0.
766.6666666667,0.
770.5882352941,0.
774.5098039216,0.
778.4313725490,0.
782.3529411765,0.
786.2745098039,0.
790.1960784314,0.
794.1176470588,0.
798.0392156863,0.
801.9607843137,0.
805.8823529412,1.
809.8039215686,0.
813.7254901961,0.
817.6470588235,0.
821.568627451,0.
825.4901960784,0.
829.4117647059,0.
833.3333333333,0.
837.2549019608,0.
841.1764705882,0.
845.0980392157,0.
849.0196078431,0.
852.9411764706,0.
856.8627450980,0.
860.7843137255,0.
864.7058823529,0.
868.6274509804,0.
872.5490196078,0.
876.4705882353,0.
880.3921568627,0.
884.3137254902,0.
888.2352941176,0.
892.1568627451,0.
896.0784313725,0.
900.,0.
903.9215686275,0.
907.8431372549,0.
911.7647058824,0.
915.6862745098,0.
919.6078431373,0.
923.5294117647,0.
927.4509803922,0.
931.3725490196,0.
935.2941176471,0.
939.2156862745,0.
943.137254902,0.
947.0588235294,0.
950.9803921569,0.
954.9019607843,0.
958.8235294118,1.
962.7450980392,0.
966.6666666667,0.
970.5882352941,0.
974.5098039216,0.
978.4313725490,0.
982.3529411765,0.
986.2745098039,0.
990.1960784314,0.
994.1176470588,0.
998.0392156863,0.
