x0000,y0000
1.9607843137,0.
5.8823529412,11.
9.8039215686,13.
13.7254901961,72.
17.6470588235,138.
21.568627451,162.
25.4901960784,135.
29.4117647059,140.
33.3333333333,175.
37.2549019608,156.
41.1764705882,164.
45.0980392157,180.
49.0196078431,180.
52.9411764706,181.
56.8627450980,162.
60.7843137255,152.
64.7058823529,130.
68.6274509804,170.
72.5490196078,181.
76.4705882353,159.
80.3921568627,143.
84.3137254902,141.
88.2352941176,144.
92.1568627451,125.
96.0784313725,129.
100.,119.
103.9215686275,121.
107.8431372549,90.
111.7647058824,119.
115.6862745098,114.
119.6078431373,101.
123.5294117647,103.
127.4509803922,117.
131.3725490196,89.
135.2941176471,109.
139.2156862745,87.
143.137254902,71.
147.0588235294,61.
150.9803921569,50.
154.9019607843,44.
158.8235294118,40.
162.7450980392,46.
166.6666666667,30.
170.5882352941,30.
174.5098039216,30.
178.4313725490,29.
182.3529411765,35.
186.2745098039,26.
190.1960784314,29.
194.1176470588,30.
198.0392156863,35.
201.9607843137,312.
205.8823529412,342.
209.8039215686,26.
213.7254901961,14.
217.6470588235,11.
221.568627451,16.
225.4901960784,12.
229.4117647059,19.
233.3333333333,12.
237.2549019608,8.
241.1764705882,7.
245.0980392157,12.
249.0196078431,13.
252.9411764706,12.
256.8627450980,11.
260.7843137255,9.
264.7058823529,11.
268.6274509804,10.
272.5490196078,11.
276.4705882353,14.
280.3921568627,10.
284.3137254902,8.
288.2352941176,12.
292.1568627451,18.
296.0784313725,16.
300.,10.
303.9215686275,14.
307.8431372549,8.
311.7647058824,12.
315.6862745098,10.
319.6078431373,16.
323.5294117647,9.
327.4509803922,12.
331.3725490196,10.
335.2941176471,13.
339.2156862745,7.
343.137254902,10.
347.0588235294,16.
350.9803921569,10.
354.9019607843,8.
358.8235294118,17.
362.7450980392,14.
366.6666666667,15.
370.5882352941,7.
374.5098039216,7.
378.4313725490,5.
382.3529411765,19.
386.2745098039,18.
390.1960784314,14.
394.1176470588,18.
398.0392156863,19.
401.9607843137,20.
405.8823529412,15.
409.8039215686,23.
413.7254901961,16.
417.6470588235,20.
421.568627451,25.
425.4901960784,12.
429.4117647059,10.
433.3333333333,20.
437.2549019608,9.
441.1764705882,3.
445.0980392157,8.
449.0196078431,6.
452.9411764706,6.
456.8627450980,5.
460.7843137255,7.
464.7058823529,10.
468.6274509804,4.
472.5490196078,5.
476.4705882353,5.
480.3921568627,2.
484.3137254902,4.
488.2352941176,0.
492.1568627451,5.
496.0784313725,1.
500.,8.
503.9215686275,45.
507.8431372549,86.
511.7647058824,10.
515.6862745098,1.
519.6078431373,0.
523.5294117647,2.
527.4509803922,1.
531.3725490196,2.
535.2941176471,0.
539.2156862745,0.
543.137254902,1.
547.0588235294,0.
550.9803921569,1.
554.9019607843,1.
558.8235294118,1.
562.7450980392,1.
566.6666666667,0.
570.5882352941,1.
574.5098039216,2.
578.4313725490,4.
582.3529411765,3.
586.2745098039,0.
590.1960784314,0.
594.1176470588,1.
598.0392156863,1.
601.9607843137,0.
605.8823529412,0.
609.8039215686,0.
613.7254901961,1.
617.6470588235,1.
621.568627451,0.
625.4901960784,1.
629.4117647059,1.
633.3333333333,1.
637.2549019608,1.
641.1764705882,1.
645.0980392157,0.
649.0196078431,0.
652.9411764706,0.
656.8627450980,0.
660.7843137255,1.
664.7058823529,1.
668.6274509804,0.
672.5490196078,0.
676.4705882353,0.
680.3921568627,0.
684.3137254902,1.
688.2352941176,0.
692.1568627451,0.
696.0784313725,1.
700.,2.
703.9215686275,0.
707.8431372549,0.
711.7647058824,1.
715.6862745098,0.
719.6078431373,1.
723.5294117647,0.
727.4509803922,2.
731.3725490196,0.
735.2941176471,0.
739.2156862745,0.
743.137254902,1.
747.0588235294,0.
750.9803921569,0.
754.9019607843,1.
758.8235294118,0.
762.7450980392,0.
766.6666666667,1.
770.5882352941,0.
774.5098039216,0.
778.4313725490,0.
782.3529411765,0.
786.2745098039,0.
790.1960784314,0.
794.1176470588,1.
798.0392156863,0.
801.9607843137,0.
805.8823529412,0.
809.8039215686,0.
813.7254901961,0.
817.6470588235,0.
821.568627451,0.
825.4901960784,0.
829.4117647059,1.
833.3333333333,0.
837.2549019608,0.
841.1764705882,0.
845.0980392157,0.
849.0196078431,1.
852.9411764706,0.
856.8627450980,0.
860.7843137255,0.
864.7058823529,0.
868.6274509804,1.
872.5490196078,0.
876.4705882353,0.
880.3921568627,0.
884.3137254902,0.
888.2352941176,0.
892.1568627451,1.
896.0784313725,0.
900.,0.
903.9215686275,0.
907.8431372549,0.
911.7647058824,0.
915.6862745098,2.
919.6078431373,0.
923.5294117647,0.
927.4509803922,0.
931.3725490196,0.
935.2941176471,0.
939.2156862745,0.
943.137254902,0.
947.0588235294,0.
950.9803921569,0.
954.9019607843,0.
958.8235294118,0.
962.7450980392,0.
966.6666666667,0.
970.5882352941,1.
974.5098039216,0.
978.4313725490,0.
982.3529411765,0.
986.2745098039,0.
990.1960784314,0.
994.1176470588,0.
998.0392156863,0.
