x0000,y0000
4.3103448276,18.
12.9310344828,141.
21.5517241379,210.
30.1724137931,287.
38.7931034483,324.
47.4137931034,371.
56.0344827586,340.
64.6551724138,288.
73.275862069,241.
81.8965517241,187.
90.5172413793,156.
99.1379310345,116.
107.7586206897,103.
116.3793103448,95.
125.0000000000,73.
133.6206896552,85.
142.2413793103,56.
150.8620689655,40.
159.4827586207,25.
168.1034482759,35.
176.7241379310,23.
185.3448275862,28.
193.9655172414,38.
202.5862068966,98.
211.2068965517,30.
219.8275862069,22.
228.4482758621,22.
237.0689655172,30.
245.6896551724,11.
254.3103448276,15.
262.9310344828,17.
271.5517241379,18.
280.1724137931,18.
288.7931034483,13.
297.4137931034,12.
306.0344827586,14.
314.6551724138,13.
323.275862069,14.
331.8965517241,10.
340.5172413793,16.
349.1379310345,14.
357.7586206897,17.
366.3793103448,15.
375.,14.
383.6206896552,14.
392.2413793103,15.
400.8620689655,10.
409.4827586207,9.
418.1034482759,17.
426.7241379310,5.
435.3448275862,5.
443.9655172414,10.
452.5862068966,5.
461.2068965517,8.
469.8275862069,8.
478.4482758621,3.
487.0689655172,12.
495.6896551724,5.
504.3103448276,18.
512.9310344828,4.
521.5517241379,3.
530.1724137931,1.
538.7931034483,1.
547.4137931034,5.
556.0344827586,2.
564.6551724138,5.
573.275862069,1.
581.8965517241,6.
590.5172413793,0.
599.1379310345,1.
607.7586206897,0.
616.3793103448,4.
625.,5.
633.6206896552,3.
642.2413793103,4.
650.8620689655,1.
659.4827586207,0.
668.1034482759,1.
676.7241379310,1.
685.3448275862,2.
693.9655172414,1.
702.5862068966,2.
711.2068965517,2.
719.8275862069,1.
728.4482758621,2.
737.0689655172,2.
745.6896551724,0.
754.3103448276,0.
762.9310344828,1.
771.5517241379,3.
780.1724137931,0.
788.7931034483,0.
797.4137931034,0.
806.0344827586,3.
814.6551724138,0.
823.275862069,0.
831.8965517241,1.
840.5172413793,1.
849.1379310345,0.
857.7586206897,0.
866.3793103448,1.
875.,0.
883.6206896552,0.
892.2413793103,0.
900.8620689655,0.
909.4827586207,1.
918.1034482759,0.
926.7241379310,0.
935.3448275862,0.
943.9655172414,0.
952.5862068966,1.
961.2068965517,3.
969.8275862069,0.
978.4482758621,0.
987.0689655172,1.
995.6896551724,0.
