x0000,y0000
4.3103448276,9.
12.9310344828,94.
21.5517241379,133.
30.1724137931,179.
38.7931034483,207.
47.4137931034,199.
56.0344827586,218.
64.6551724138,165.
73.275862069,146.
81.8965517241,102.
90.5172413793,81.
99.1379310345,67.
107.7586206897,64.
116.3793103448,46.
125.0000000000,35.
133.6206896552,32.
142.2413793103,36.
150.8620689655,30.
159.4827586207,29.
168.1034482759,15.
176.7241379310,18.
185.3448275862,15.
193.9655172414,14.
202.5862068966,15.
211.2068965517,18.
219.8275862069,11.
228.4482758621,14.
237.0689655172,8.
245.6896551724,20.
254.3103448276,3.
262.9310344828,10.
271.5517241379,5.
280.1724137931,9.
288.7931034483,9.
297.4137931034,4.
306.0344827586,7.
314.6551724138,10.
323.275862069,10.
331.8965517241,8.
340.5172413793,7.
349.1379310345,8.
357.7586206897,4.
366.3793103448,6.
375.,6.
383.6206896552,6.
392.2413793103,0.
400.8620689655,6.
409.4827586207,1.
418.1034482759,3.
426.7241379310,2.
435.3448275862,4.
443.9655172414,8.
452.5862068966,4.
461.2068965517,3.
469.8275862069,5.
478.4482758621,2.
487.0689655172,3.
495.6896551724,4.
504.3103448276,5.
512.9310344828,3.
521.5517241379,1.
530.1724137931,2.
538.7931034483,0.
547.4137931034,1.
556.0344827586,0.
564.6551724138,1.
573.275862069,3.
581.8965517241,6.
590.5172413793,0.
599.1379310345,2.
607.7586206897,1.
616.3793103448,1.
625.,0.
633.6206896552,0.
642.2413793103,0.
650.8620689655,0.
659.4827586207,1.
668.1034482759,1.
676.7241379310,0.
685.3448275862,0.
693.9655172414,1.
702.5862068966,1.
711.2068965517,1.
719.8275862069,3.
728.4482758621,1.
737.0689655172,2.
745.6896551724,0.
754.3103448276,1.
762.9310344828,0.
771.5517241379,1.
780.1724137931,1.
788.7931034483,0.
797.4137931034,0.
806.0344827586,1.
814.6551724138,0.
823.275862069,1.
831.8965517241,0.
840.5172413793,1.
849.1379310345,1.
857.7586206897,1.
866.3793103448,0.
875.,1.
883.6206896552,2.
892.2413793103,1.
900.8620689655,0.
909.4827586207,2.
918.1034482759,0.
926.7241379310,0.
935.3448275862,0.
943.9655172414,0.
952.5862068966,0.
961.2068965517,1.
969.8275862069,0.
978.4482758621,0.
987.0689655172,0.
995.6896551724,0.
