x0000,y0000
4.3103448276,15.
12.9310344828,175.
21.5517241379,293.
30.1724137931,305.
38.7931034483,413.
47.4137931034,411.
56.0344827586,413.
64.6551724138,399.
73.275862069,327.
81.8965517241,298.
90.5172413793,259.
99.1379310345,202.
107.7586206897,183.
116.3793103448,142.
125.0000000000,134.
133.6206896552,158.
142.2413793103,100.
150.8620689655,68.
159.4827586207,73.
168.1034482759,59.
176.7241379310,56.
185.3448275862,44.
193.9655172414,50.
202.5862068966,237.
211.2068965517,26.
219.8275862069,24.
228.4482758621,26.
237.0689655172,27.
245.6896551724,26.
254.3103448276,28.
262.9310344828,19.
271.5517241379,23.
280.1724137931,12.
288.7931034483,10.
297.4137931034,16.
306.0344827586,19.
314.6551724138,18.
323.275862069,13.
331.8965517241,15.
340.5172413793,13.
349.1379310345,21.
357.7586206897,16.
366.3793103448,16.
375.,12.
383.6206896552,17.
392.2413793103,21.
400.8620689655,16.
409.4827586207,23.
418.1034482759,19.
426.7241379310,12.
435.3448275862,13.
443.9655172414,16.
452.5862068966,8.
461.2068965517,8.
469.8275862069,15.
478.4482758621,5.
487.0689655172,6.
495.6896551724,2.
504.3103448276,51.
512.9310344828,10.
521.5517241379,6.
530.1724137931,1.
538.7931034483,2.
547.4137931034,3.
556.0344827586,0.
564.6551724138,1.
573.275862069,5.
581.8965517241,6.
590.5172413793,1.
599.1379310345,1.
607.7586206897,3.
616.3793103448,0.
625.,1.
633.6206896552,1.
642.2413793103,1.
650.8620689655,1.
659.4827586207,1.
668.1034482759,1.
676.7241379310,2.
685.3448275862,1.
693.9655172414,2.
702.5862068966,0.
711.2068965517,2.
719.8275862069,0.
728.4482758621,0.
737.0689655172,0.
745.6896551724,4.
754.3103448276,0.
762.9310344828,0.
771.5517241379,0.
780.1724137931,1.
788.7931034483,0.
797.4137931034,1.
806.0344827586,0.
814.6551724138,1.
823.275862069,0.
831.8965517241,0.
840.5172413793,2.
849.1379310345,1.
857.7586206897,1.
866.3793103448,0.
875.,0.
883.6206896552,0.
892.2413793103,1.
900.8620689655,0.
909.4827586207,0.
918.1034482759,0.
926.7241379310,1.
935.3448275862,0.
943.9655172414,0.
952.5862068966,1.
961.2068965517,1.
969.8275862069,0.
978.4482758621,0.
987.0689655172,1.
995.6896551724,0.
