x0000,y0000
4.3103448276,20.
12.9310344828,158.
21.5517241379,260.
30.1724137931,282.
38.7931034483,354.
47.4137931034,419.
56.0344827586,400.
64.6551724138,310.
73.275862069,283.
81.8965517241,215.
90.5172413793,189.
99.1379310345,180.
107.7586206897,151.
116.3793103448,137.
125.0000000000,131.
133.6206896552,105.
142.2413793103,86.
150.8620689655,58.
159.4827586207,57.
168.1034482759,40.
176.7241379310,42.
185.3448275862,34.
193.9655172414,27.
202.5862068966,148.
211.2068965517,28.
219.8275862069,27.
228.4482758621,20.
237.0689655172,26.
245.6896551724,20.
254.3103448276,19.
262.9310344828,15.
271.5517241379,10.
280.1724137931,21.
288.7931034483,17.
297.4137931034,22.
306.0344827586,10.
314.6551724138,18.
323.275862069,15.
331.8965517241,9.
340.5172413793,11.
349.1379310345,16.
357.7586206897,11.
366.3793103448,14.
375.,13.
383.6206896552,21.
392.2413793103,15.
400.8620689655,15.
409.4827586207,20.
418.1034482759,23.
426.7241379310,11.
435.3448275862,13.
443.9655172414,8.
452.5862068966,11.
461.2068965517,6.
469.8275862069,9.
478.4482758621,7.
487.0689655172,6.
495.6896551724,5.
504.3103448276,32.
512.9310344828,14.
521.5517241379,4.
530.1724137931,2.
538.7931034483,1.
547.4137931034,0.
556.0344827586,1.
564.6551724138,1.
573.275862069,3.
581.8965517241,15.
590.5172413793,2.
599.1379310345,0.
607.7586206897,2.
616.3793103448,0.
625.,0.
633.6206896552,1.
642.2413793103,0.
650.8620689655,0.
659.4827586207,0.
668.1034482759,0.
676.7241379310,0.
685.3448275862,3.
693.9655172414,0.
702.5862068966,2.
711.2068965517,1.
719.8275862069,1.
728.4482758621,1.
737.0689655172,1.
745.6896551724,1.
754.3103448276,0.
762.9310344828,0.
771.5517241379,2.
780.1724137931,3.
788.7931034483,0.
797.4137931034,0.
806.0344827586,1.
814.6551724138,1.
823.275862069,1.
831.8965517241,0.
840.5172413793,1.
849.1379310345,0.
857.7586206897,1.
866.3793103448,1.
875.,1.
883.6206896552,0.
892.2413793103,1.
900.8620689655,0.
909.4827586207,0.
918.1034482759,1.
926.7241379310,2.
935.3448275862,0.
943.9655172414,0.
952.5862068966,1.
961.2068965517,1.
969.8275862069,0.
978.4482758621,1.
987.0689655172,0.
995.6896551724,0.
