x0000,y0000
5.4347826087,12.
16.3043478261,188.
27.1739130435,247.
38.0434782609,294.
48.9130434783,317.
59.7826086957,270.
70.6521739130,246.
81.5217391304,191.
92.3913043478,135.
103.2608695652,117.
114.1304347826,78.
125.,74.
135.8695652174,58.
146.7391304348,60.
157.6086956522,52.
168.4782608696,39.
179.347826087,33.
190.2173913043,32.
201.0869565217,22.
211.9565217391,22.
222.8260869565,19.
233.6956521739,15.
244.5652173913,28.
255.4347826087,11.
266.3043478261,31.
277.1739130435,11.
288.0434782609,16.
298.9130434783,5.
309.7826086957,11.
320.6521739130,14.
331.5217391304,10.
342.3913043478,9.
353.2608695652,13.
364.1304347826,7.
375.,7.
385.8695652174,8.
396.7391304348,3.
407.6086956522,7.
418.4782608696,6.
429.347826087,8.
440.2173913043,1.
451.0869565217,6.
461.9565217391,8.
472.8260869565,5.
483.6956521739,8.
494.5652173913,3.
505.4347826087,5.
516.3043478261,4.
527.1739130435,2.
538.0434782609,0.
548.9130434783,2.
559.7826086957,3.
570.6521739130,3.
581.5217391304,13.
592.3913043478,1.
603.2608695652,0.
614.1304347826,4.
625.,1.
635.8695652174,1.
646.7391304348,0.
657.6086956522,2.
668.4782608696,1.
679.347826087,2.
690.2173913043,1.
701.0869565217,1.
711.9565217391,1.
722.8260869565,0.
733.6956521739,0.
744.5652173913,0.
755.4347826087,1.
766.3043478261,3.
777.1739130435,0.
788.0434782609,0.
798.9130434783,1.
809.7826086957,1.
820.6521739130,1.
831.5217391304,2.
842.3913043478,2.
853.2608695652,0.
864.1304347826,0.
875.,0.
885.8695652174,0.
896.7391304348,0.
907.6086956522,0.
918.4782608696,1.
929.347826087,0.
940.2173913043,0.
951.0869565217,0.
961.9565217391,0.
972.8260869565,2.
983.6956521739,0.
994.5652173913,0.
