x0000,y0000
2.5,0.
7.5,1013.
12.5,1291.
17.5,2194.
22.5,2018.
27.5,2116.
32.5,2793.
37.5,2768.
42.5,2607.
47.5,2589.
52.5,2529.
57.5,2334.
62.5,2248.
67.5,1942.
72.5,1690.
77.5,1584.
82.5,1348.
87.5,1157.
92.5,1102.
97.5,980.
102.5,850.
107.5,791.
112.5,732.
117.5,640.
122.5,598.
127.5,538.
132.5,562.
137.5,484.
142.5,439.
147.5,397.
152.5,338.
157.5,336.
162.5,311.
167.5,314.
172.5,264.
177.5,281.
182.5,257.
187.5,238.
192.5,212.
197.5,231.
202.5,493.
207.5,218.
212.5,151.
217.5,160.
222.5,159.
227.5,144.
232.5,157.
237.5,155.
242.5,153.
247.5,130.
252.5,129.
257.5,133.
262.5,199.
267.5,119.
272.5,129.
277.5,112.
282.5,113.
287.5,96.
292.5,108.
297.5,95.
302.5,105.
307.5,101.
312.5,94.
317.5,100.
322.5,71.
327.5,91.
332.5,88.
337.5,94.
342.5,93.
347.5,86.
352.5,80.
357.5,87.
362.5,95.
367.5,72.
372.5,82.
377.5,81.
382.5,86.
387.5,79.
392.5,92.
397.5,81.
402.5,87.
407.5,91.
412.5,76.
417.5,82.
422.5,61.
427.5,56.
432.5,61.
437.5,63.
442.5,65.
447.5,53.
452.5,40.
457.5,49.
462.5,41.
467.5,62.
472.5,51.
477.5,63.
482.5,67.
487.5,47.
492.5,53.
497.5,39.
502.5,136.
507.5,83.
512.5,20.
517.5,20.
522.5,20.
527.5,28.
532.5,12.
537.5,21.
542.5,15.
547.5,12.
552.5,20.
557.5,14.
562.5,11.
567.5,15.
572.5,50.
577.5,82.
582.5,15.
587.5,13.
592.5,16.
597.5,11.
602.5,13.
607.5,9.
612.5,10.
617.5,17.
622.5,8.
627.5,15.
632.5,9.
637.5,12.
642.5,8.
647.5,7.
652.5,9.
657.5,9.
662.5,7.
667.5,5.
672.5,6.
677.5,14.
682.5,6.
687.5,7.
692.5,8.
697.5,15.
702.5,5.
707.5,3.
712.5,3.
717.5,3.
722.5,4.
727.5,9.
732.5,9.
737.5,11.
742.5,4.
747.5,3.
752.5,4.
757.5,3.
762.5,2.
767.5,5.
772.5,3.
777.5,3.
782.5,4.
787.5,8.
792.5,5.
797.5,3.
802.5,5.
807.5,12.
812.5,2.
817.5,5.
822.5,3.
827.5,10.
832.5,7.
837.5,6.
842.5,4.
847.5,6.
852.5,5.
857.5,6.
862.5,7.
867.5,11.
872.5,8.
877.5,4.
882.5,4.
887.5,5.
892.5,6.
897.5,5.
902.5,2.
907.5,5.
912.5,6.
917.5,4.
922.5,7.
927.5,9.
932.5,5.
937.5,6.
942.5,3.
947.5,1.
952.5,4.
957.5,3.
962.5,3.
967.5,2.
972.5,3.
977.5,0.
982.5,1.
987.5,2.
992.5,0.
997.5,1.
