x0000,y0000
1.9607843137,0.
5.8823529412,122.
9.8039215686,193.
13.7254901961,321.
17.6470588235,360.
21.568627451,316.
25.4901960784,339.
29.4117647059,399.
33.3333333333,491.
37.2549019608,450.
41.1764705882,471.
45.0980392157,425.
49.0196078431,436.
52.9411764706,409.
56.8627450980,408.
60.7843137255,348.
64.7058823529,332.
68.6274509804,333.
72.5490196078,271.
76.4705882353,308.
80.3921568627,238.
84.3137254902,234.
88.2352941176,200.
92.1568627451,211.
96.0784313725,196.
100.,166.
103.9215686275,162.
107.8431372549,142.
111.7647058824,107.
115.6862745098,114.
119.6078431373,123.
123.5294117647,109.
127.4509803922,98.
131.3725490196,111.
135.2941176471,96.
139.2156862745,79.
143.137254902,74.
147.0588235294,74.
150.9803921569,59.
154.9019607843,62.
158.8235294118,44.
162.7450980392,55.
166.6666666667,55.
170.5882352941,49.
174.5098039216,56.
178.4313725490,37.
182.3529411765,39.
186.2745098039,35.
190.1960784314,39.
194.1176470588,33.
198.0392156863,45.
201.9607843137,110.
205.8823529412,52.
209.8039215686,33.
213.7254901961,32.
217.6470588235,39.
221.568627451,22.
225.4901960784,28.
229.4117647059,26.
233.3333333333,25.
237.2549019608,20.
241.1764705882,28.
245.0980392157,21.
249.0196078431,18.
252.9411764706,18.
256.8627450980,31.
260.7843137255,22.
264.7058823529,26.
268.6274509804,24.
272.5490196078,27.
276.4705882353,22.
280.3921568627,19.
284.3137254902,22.
288.2352941176,17.
292.1568627451,13.
296.0784313725,15.
300.,17.
303.9215686275,15.
307.8431372549,8.
311.7647058824,14.
315.6862745098,20.
319.6078431373,21.
323.5294117647,15.
327.4509803922,21.
331.3725490196,16.
335.2941176471,10.
339.2156862745,15.
343.137254902,17.
347.0588235294,14.
350.9803921569,16.
354.9019607843,11.
358.8235294118,16.
362.7450980392,11.
366.6666666667,7.
370.5882352941,21.
374.5098039216,19.
378.4313725490,10.
382.3529411765,22.
386.2745098039,12.
390.1960784314,15.
394.1176470588,18.
398.0392156863,14.
401.9607843137,16.
405.8823529412,19.
409.8039215686,16.
413.7254901961,19.
417.6470588235,20.
421.568627451,17.
425.4901960784,7.
429.4117647059,12.
433.3333333333,12.
437.2549019608,7.
441.1764705882,12.
445.0980392157,11.
449.0196078431,9.
452.9411764706,11.
456.8627450980,15.
460.7843137255,4.
464.7058823529,7.
468.6274509804,8.
472.5490196078,8.
476.4705882353,12.
480.3921568627,7.
484.3137254902,10.
488.2352941176,8.
492.1568627451,7.
496.0784313725,6.
500.,7.
503.9215686275,24.
507.8431372549,9.
511.7647058824,2.
515.6862745098,5.
519.6078431373,7.
523.5294117647,2.
527.4509803922,5.
531.3725490196,5.
535.2941176471,4.
539.2156862745,3.
543.137254902,1.
547.0588235294,1.
550.9803921569,3.
554.9019607843,4.
558.8235294118,3.
562.7450980392,3.
566.6666666667,2.
570.5882352941,4.
574.5098039216,13.
578.4313725490,8.
582.3529411765,2.
586.2745098039,3.
590.1960784314,1.
594.1176470588,3.
598.0392156863,4.
601.9607843137,2.
605.8823529412,1.
609.8039215686,3.
613.7254901961,1.
617.6470588235,2.
621.568627451,2.
625.4901960784,5.
629.4117647059,2.
633.3333333333,0.
637.2549019608,3.
641.1764705882,1.
645.0980392157,1.
649.0196078431,3.
652.9411764706,1.
656.8627450980,1.
660.7843137255,0.
664.7058823529,1.
668.6274509804,1.
672.5490196078,2.
676.4705882353,2.
680.3921568627,1.
684.3137254902,1.
688.2352941176,2.
692.1568627451,3.
696.0784313725,2.
700.,3.
703.9215686275,1.
707.8431372549,0.
711.7647058824,0.
715.6862745098,2.
719.6078431373,1.
723.5294117647,1.
727.4509803922,1.
731.3725490196,1.
735.2941176471,0.
739.2156862745,0.
743.137254902,1.
747.0588235294,1.
750.9803921569,0.
754.9019607843,0.
758.8235294118,0.
762.7450980392,2.
766.6666666667,3.
770.5882352941,0.
774.5098039216,1.
778.4313725490,0.
782.3529411765,0.
786.2745098039,1.
790.1960784314,0.
794.1176470588,0.
798.0392156863,2.
801.9607843137,2.
805.8823529412,0.
809.8039215686,2.
813.7254901961,1.
817.6470588235,2.
821.568627451,1.
825.4901960784,0.
829.4117647059,0.
833.3333333333,0.
837.2549019608,1.
841.1764705882,1.
845.0980392157,1.
849.0196078431,0.
852.9411764706,1.
856.8627450980,0.
860.7843137255,0.
864.7058823529,1.
868.6274509804,1.
872.5490196078,0.
876.4705882353,1.
880.3921568627,1.
884.3137254902,0.
888.2352941176,1.
892.1568627451,1.
896.0784313725,2.
900.,1.
903.9215686275,0.
907.8431372549,1.
911.7647058824,0.
915.6862745098,3.
919.6078431373,0.
923.5294117647,0.
927.4509803922,2.
931.3725490196,1.
935.2941176471,0.
939.2156862745,1.
943.137254902,1.
947.0588235294,0.
950.9803921569,0.
954.9019607843,0.
958.8235294118,0.
962.7450980392,0.
966.6666666667,1.
970.5882352941,0.
974.5098039216,0.
978.4313725490,0.
982.3529411765,0.
986.2745098039,0.
990.1960784314,1.
994.1176470588,0.
998.0392156863,0.
