x0000,y0000
1.6393442623,0.
4.9180327869,137.
8.1967213115,1061.
11.4754098361,735.
14.7540983607,1511.
18.0327868852,1499.
21.3114754098,1386.
24.5901639344,1428.
27.8688524590,1497.
31.1475409836,1839.
34.4262295082,1878.
37.7049180328,1943.
40.9836065574,1829.
44.262295082,1798.
47.5409836066,1783.
50.8196721311,1745.
54.0983606557,1731.
57.3770491803,1614.
60.6557377049,1490.
63.9344262295,1326.
67.2131147541,1259.
70.4918032787,1284.
73.7704918033,1144.
77.0491803279,1077.
80.3278688525,962.
83.6065573770,893.
86.8852459016,844.
90.1639344262,822.
93.4426229508,758.
96.7213114754,724.
100.,685.
103.2786885246,666.
106.5573770492,567.
109.8360655738,581.
113.1147540984,535.
116.393442623,480.
119.6721311475,449.
122.9508196721,461.
126.2295081967,397.
129.5081967213,392.
132.7868852459,402.
136.0655737705,400.
139.3442622951,345.
142.6229508197,314.
145.9016393443,293.
149.1803278689,298.
152.4590163934,244.
155.7377049180,222.
159.0163934426,253.
162.2950819672,228.
165.5737704918,214.
168.8524590164,192.
172.131147541,190.
175.4098360656,190.
178.6885245902,198.
181.9672131148,198.
185.2459016393,189.
188.5245901639,184.
191.8032786885,173.
195.0819672131,135.
198.3606557377,143.
201.6393442623,332.
204.9180327869,303.
208.1967213115,129.
211.4754098361,115.
214.7540983607,110.
218.0327868852,109.
221.3114754098,132.
224.5901639344,109.
227.8688524590,117.
231.1475409836,124.
234.4262295082,91.
237.7049180328,108.
240.9836065574,128.
244.262295082,88.
247.5409836066,76.
250.8196721311,88.
254.0983606557,92.
257.3770491803,102.
260.6557377049,142.
263.9344262295,99.
267.2131147541,83.
270.4918032787,86.
273.7704918033,100.
277.0491803279,65.
280.3278688525,82.
283.6065573770,77.
286.8852459016,78.
290.1639344262,68.
293.4426229508,59.
296.7213114754,76.
300.,75.
303.2786885246,73.
306.5573770492,72.
309.8360655738,68.
313.1147540984,54.
316.393442623,70.
319.6721311475,64.
322.9508196721,72.
326.2295081967,59.
329.5081967213,71.
332.7868852459,62.
336.0655737705,66.
339.3442622951,61.
342.6229508197,55.
345.9016393443,69.
349.1803278689,66.
352.4590163934,56.
355.7377049180,75.
359.0163934426,72.
362.2950819672,59.
365.5737704918,62.
368.8524590164,58.
372.131147541,59.
375.4098360656,54.
378.6885245902,61.
381.9672131148,66.
385.2459016393,63.
388.5245901639,58.
391.8032786885,60.
395.0819672131,61.
398.3606557377,50.
401.6393442623,49.
404.9180327869,59.
408.1967213115,48.
411.4754098361,62.
414.7540983607,56.
418.0327868852,59.
421.3114754098,36.
424.5901639344,45.
427.8688524590,40.
431.1475409836,47.
434.4262295082,51.
437.7049180328,43.
440.9836065574,49.
444.262295082,45.
447.5409836066,56.
450.8196721311,34.
454.0983606557,41.
457.3770491803,43.
460.6557377049,42.
463.9344262295,44.
467.2131147541,42.
