x0000,y0000
1.9607843137,0.
5.8823529412,18.
9.8039215686,41.
13.7254901961,36.
17.6470588235,69.
21.568627451,70.
25.4901960784,57.
29.4117647059,67.
33.3333333333,88.
37.2549019608,94.
41.1764705882,104.
45.0980392157,100.
49.0196078431,81.
52.9411764706,113.
56.8627450980,70.
60.7843137255,75.
64.7058823529,71.
68.6274509804,64.
72.5490196078,66.
76.4705882353,33.
80.3921568627,60.
84.3137254902,61.
88.2352941176,37.
92.1568627451,37.
96.0784313725,39.
100.,24.
103.9215686275,24.
107.8431372549,27.
111.7647058824,16.
115.6862745098,26.
119.6078431373,12.
123.5294117647,15.
127.4509803922,10.
131.3725490196,15.
135.2941176471,16.
139.2156862745,18.
143.137254902,12.
147.0588235294,19.
150.9803921569,10.
154.9019607843,7.
158.8235294118,13.
162.7450980392,10.
166.6666666667,9.
170.5882352941,10.
174.5098039216,4.
178.4313725490,6.
182.3529411765,9.
186.2745098039,8.
190.1960784314,10.
194.1176470588,11.
198.0392156863,6.
201.9607843137,8.
205.8823529412,4.
209.8039215686,6.
213.7254901961,6.
217.6470588235,6.
221.568627451,1.
225.4901960784,6.
229.4117647059,9.
233.3333333333,8.
237.2549019608,3.
241.1764705882,11.
245.0980392157,6.
249.0196078431,5.
252.9411764706,5.
256.8627450980,2.
260.7843137255,4.
264.7058823529,4.
268.6274509804,3.
272.5490196078,4.
276.4705882353,4.
280.3921568627,1.
284.3137254902,2.
288.2352941176,3.
292.1568627451,3.
296.0784313725,3.
300.,3.
303.9215686275,5.
307.8431372549,4.
311.7647058824,1.
315.6862745098,4.
319.6078431373,5.
323.5294117647,1.
327.4509803922,2.
331.3725490196,5.
335.2941176471,4.
339.2156862745,6.
343.137254902,7.
347.0588235294,2.
350.9803921569,1.
354.9019607843,4.
358.8235294118,3.
362.7450980392,3.
366.6666666667,3.
370.5882352941,2.
374.5098039216,2.
378.4313725490,3.
382.3529411765,2.
386.2745098039,1.
390.1960784314,3.
394.1176470588,0.
398.0392156863,2.
401.9607843137,0.
405.8823529412,1.
409.8039215686,1.
413.7254901961,1.
417.6470588235,1.
421.568627451,0.
425.4901960784,1.
429.4117647059,1.
433.3333333333,0.
437.2549019608,5.
441.1764705882,2.
445.0980392157,3.
449.0196078431,0.
452.9411764706,0.
456.8627450980,3.
460.7843137255,1.
464.7058823529,2.
468.6274509804,5.
472.5490196078,2.
476.4705882353,2.
480.3921568627,6.
484.3137254902,2.
488.2352941176,1.
492.1568627451,2.
496.0784313725,1.
500.,0.
503.9215686275,2.
507.8431372549,0.
511.7647058824,1.
515.6862745098,1.
519.6078431373,0.
523.5294117647,2.
527.4509803922,2.
531.3725490196,1.
535.2941176471,0.
539.2156862745,1.
543.137254902,0.
547.0588235294,1.
550.9803921569,1.
554.9019607843,3.
558.8235294118,1.
562.7450980392,2.
566.6666666667,1.
570.5882352941,2.
574.5098039216,4.
578.4313725490,1.
582.3529411765,1.
586.2745098039,0.
590.1960784314,0.
594.1176470588,2.
598.0392156863,1.
601.9607843137,0.
605.8823529412,1.
609.8039215686,0.
613.7254901961,0.
617.6470588235,0.
621.568627451,0.
625.4901960784,0.
629.4117647059,0.
633.3333333333,0.
637.2549019608,0.
641.1764705882,1.
645.0980392157,2.
649.0196078431,0.
652.9411764706,0.
656.8627450980,1.
660.7843137255,0.
664.7058823529,2.
668.6274509804,0.
672.5490196078,1.
676.4705882353,1.
680.3921568627,1.
684.3137254902,1.
688.2352941176,0.
692.1568627451,0.
696.0784313725,2.
700.,0.
703.9215686275,1.
707.8431372549,0.
711.7647058824,0.
715.6862745098,0.
719.6078431373,0.
723.5294117647,0.
727.4509803922,1.
731.3725490196,0.
735.2941176471,0.
739.2156862745,0.
743.137254902,0.
747.0588235294,1.
750.9803921569,0.
754.9019607843,1.
758.8235294118,0.
762.7450980392,0.
766.6666666667,0.
770.5882352941,0.
774.5098039216,0.
778.4313725490,0.
782.3529411765,0.
786.2745098039,1.
790.1960784314,1.
794.1176470588,0.
798.0392156863,0.
801.9607843137,1.
805.8823529412,0.
809.8039215686,0.
813.7254901961,1.
817.6470588235,0.
821.568627451,0.
825.4901960784,0.
829.4117647059,0.
833.3333333333,0.
837.2549019608,0.
841.1764705882,0.
845.0980392157,0.
849.0196078431,0.
852.9411764706,0.
856.8627450980,0.
860.7843137255,0.
864.7058823529,0.
868.6274509804,0.
872.5490196078,0.
876.4705882353,1.
880.3921568627,0.
884.3137254902,0.
888.2352941176,0.
892.1568627451,0.
896.0784313725,0.
900.,1.
903.9215686275,0.
907.8431372549,1.
911.7647058824,0.
915.6862745098,1.
919.6078431373,0.
923.5294117647,1.
927.4509803922,0.
931.3725490196,0.
935.2941176471,0.
939.2156862745,0.
943.137254902,0.
947.0588235294,0.
950.9803921569,0.
954.9019607843,1.
958.8235294118,2.
962.7450980392,1.
966.6666666667,0.
970.5882352941,0.
974.5098039216,0.
978.4313725490,0.
982.3529411765,0.
986.2745098039,0.
990.1960784314,0.
994.1176470588,0.
998.0392156863,0.
