nuclide,energy_keV,half_life
Be-7,477.6035,53.22 (6) d
C-11,511.0,20.361 (23) min
N-13,511.0,9.9670 (37) min
O-15,511.0,2.041 (6) min
F-18,511.0,1.8288 (3) h
Na-22,511.0,2.6029 (8) a
Na-22,1274.537,2.6029 (8) a
Na-24,1368.626,14.9574 (20) h
Na-24,2754.007,14.9574 (20) h
Al-26,511.0,717 (24) 103 a
Al-26,1129.67,717 (24) 103 a
Al-26,1808.65,717 (24) 103 a
K-40,1460.822,1.2504 (30) 109 a
Ar-41,1293.64,109.611 (38) min
Sc-44,511.0,3.97 (4) h
Sc-44,1157.02,3.97 (4) h
Ti-44,67.8679,60.0 (11) a
Ti-44,78.36,60.0 (11) a
Sc-46,889.271,83.788 (22) d
Sc-46,1120.537,83.788 (22) d
Ca-47,489.23,4.536 (3) d
Ca-47,807.86,4.536 (3) d
Ca-47,1297.09,4.536 (3) d
Sc-47,159.381,3.3492 (6) d
Cr-51,320.0824,27.703 (3) d
Fe-52,168.688,8.275 (8) h
Fe-52,511.0,8.275 (8) h
Mn-52,346.03,5.591 (3) d
Mn-52,511.0,5.591 (3) d
Mn-52,744.214,5.591 (3) d
Mn-52,848.13,5.591 (3) d
Mn-52,935.52,5.591 (3) d
Mn-52,1246.25,5.591 (3) d
Mn-52,1333.615,5.591 (3) d
Mn-52,1434.05,5.591 (3) d
Mn-52m,377.738,21.1 (2) min
Mn-52m,511.0,21.1 (2) min
Mn-52m,1434.05,21.1 (2) min
Mn-54,834.838,312.13 (3) d
Co-56,511.0,77.236 (26) d
Co-56,846.7638,77.236 (26) d
Co-56,977.363,77.236 (26) d
Co-56,1037.8333,77.236 (26) d
Co-56,1175.0878,77.236 (26) d
Co-56,1238.2736,77.236 (26) d
Co-56,1360.196,77.236 (26) d
Co-56,1771.327,77.236 (26) d
Co-56,2015.176,77.236 (26) d
Co-56,2034.752,77.236 (26) d
Co-56,2598.438,77.236 (26) d
Co-56,3009.559,77.236 (26) d
