nuclide,half_life,energy_keV,intensity_percent,icc_T
Be-7,53.22 (6) d,477.6035,10.44,7.3 (11) 10−7
C-11,20.361 (23) min,511.0,199.5,<NA>
N-13,9.9670 (37) min,511.0,199.636,<NA>
O-15,2.041 (6) min,511.0,199.77,<NA>
F-18,1.8288 (3) h,511.0,193.72,<NA>
Na-22,2.6029 (8) a,511.0,180.7,<NA>
Na-22,2.6029 (8) a,1274.537,99.94,6.71 (9) 10−6
Na-24,14.9574 (20) h,1368.626,99.9935,1.04 10−5
Na-24,14.9574 (20) h,2754.007,99.872,2.8 10−6
Al-26,717 (24) 103 a,511.0,163.5,<NA>
Al-26,717 (24) 103 a,1129.67,2.5,1.25 10−5
Al-26,717 (24) 103 a,1808.65,99.76,6.33 10−6
K-40,1.2504 (30) 109 a,1460.822,10.55,1.028 (15) 10−4
Ar-41,109.611 (38) min,1293.64,99.157,7.44 (11) 10−5
Sc-44,3.97 (4) h,511.0,188.0,<NA>
Sc-44,3.97 (4) h,1157.02,99.875,6.48 (19) 10−5
Ti-44,60.0 (11) a,67.8679,93.0,8.45 (25) 10−2
Ti-44,60.0 (11) a,78.36,96.4,3.2 (1) 10−2
Sc-46,83.788 (22) d,889.271,99.9833,1.67 (5) 10−4
Sc-46,83.788 (22) d,1120.537,99.986,9.5 (3) 10−5
Ca-47,4.536 (3) d,489.23,6.9,<NA>
Ca-47,4.536 (3) d,807.86,6.8,<NA>
Ca-47,4.536 (3) d,1297.09,75.0,<NA>
Sc-47,3.3492 (6) d,159.381,68.3,4.5 (3) 10−3
Cr-51,27.703 (3) d,320.0824,9.87,1.69 (5) 10−3
Fe-52,8.275 (8) h,168.688,99.2,8.0 (1) 10−3
Fe-52,8.275 (8) h,511.0,112.0,<NA>
Mn-52,5.591 (3) d,346.03,1.01,<NA>
Mn-52,5.591 (3) d,511.0,58.8,<NA>
Mn-52,5.591 (3) d,744.214,90.34,3.4 (3) 10−4
Mn-52,5.591 (3) d,848.13,3.35,<NA>
Mn-52,5.591 (3) d,935.52,94.9,1.8 (2) 10−4
Mn-52,5.591 (3) d,1246.25,4.23,<NA>
Mn-52,5.591 (3) d,1333.615,5.07,<NA>
Mn-52,5.591 (3) d,1434.05,99.987,6.9 (7) 10−5
Mn-52m,21.1 (2) min,377.738,1.68,<NA>
Mn-52m,21.1 (2) min,511.0,193.0,<NA>
Mn-52m,21.1 (2) min,1434.05,98.2,<NA>
Mn-54,312.13 (3) d,834.838,99.9746,2.51 (11) 10−4
Co-56,77.236 (26) d,511.0,39.21,<NA>
Co-56,77.236 (26) d,846.7638,99.9399,3.03 (9) 10−4
Co-56,77.236 (26) d,977.363,1.422,<NA>
Co-56,77.236 (26) d,1037.8333,14.03,<NA>
Co-56,77.236 (26) d,1175.0878,2.249,<NA>
Co-56,77.236 (26) d,1238.2736,66.41,<NA>
Co-56,77.236 (26) d,1360.196,4.28,<NA>
Co-56,77.236 (26) d,1771.327,15.45,<NA>
Co-56,77.236 (26) d,2015.176,3.017,<NA>
Co-56,77.236 (26) d,2034.752,7.741,<NA>
Co-56,77.236 (26) d,2598.438,16.96,<NA>
Co-56,77.236 (26) d,3009.559,1.038,<NA>
Co-56,77.236 (26) d,3201.93,3.203,<NA>
Co-56,77.236 (26) d,3253.402,7.87,<NA>
Co-56,77.236 (26) d,3272.978,1.855,<NA>
Mn-56,2.57878 (46) h,846.7638,98.85,3.00 (9) 10−4
Mn-56,2.57878 (46) h,1810.726,26.9,5.10 (15) 10−5
Mn-56,2.57878 (46) h,2113.092,14.2,<NA>
Mn-56,2.57878 (46) h,2523.06,1.02,<NA>
Co-57,271.80 (5) d,14.41295,9.15,8.58 (18)
