nuclide,energy_keV
Be-7,477.6035
C-11,511.0
N-13,511.0
O-15,511.0
F-18,511.0
Na-22,511.0
Na-22,1274.537
Na-24,1368.626
Na-24,2754.007
Al-26,511.0
Al-26,1129.67
Al-26,1808.65
K-40,1460.822
Ar-41,1293.64
Sc-44,511.0
Sc-44,1157.02
Ti-44,67.8679
Ti-44,78.36
Sc-46,889.271
Sc-46,1120.537
Ca-47,489.23
Ca-47,807.86
Ca-47,1297.09
Sc-47,159.381
Cr-51,320.0824
Fe-52,168.688
Fe-52,511.0
Mn-52,346.03
Mn-52,511.0
Mn-52,744.214
Mn-52,848.13
Mn-52,935.52
Mn-52,1246.25
Mn-52,1333.615
Mn-52,1434.05
Mn-52m,377.738
Mn-52m,511.0
Mn-52m,1434.05
Mn-54,834.838
Co-56,511.0
Co-56,846.7638
Co-56,977.363
Co-56,1037.8333
Co-56,1175.0878
Co-56,1238.2736
Co-56,1360.196
Co-56,1771.327
Co-56,2015.176
Co-56,2034.752
Co-56,2598.438
Co-56,3009.559
Co-56,3201.93
Co-56,3253.402
Co-56,3272.978
Mn-56,846.7638
Mn-56,1810.726
Mn-56,2113.092
Mn-56,2523.06
Co-57,14.41295
Co-57,122.06065
Co-57,136.47356
Ni-57,127.164
Ni-57,511.0
Ni-57,1377.62
Ni-57,1757.55
Ni-57,1919.62
Co-58,511.0
Co-58,810.759
Fe-59,192.349
Fe-59,1099.245
Fe-59,1291.59
Co-60,1173.228
Co-60,1332.492
Cu-64,511.0
Zn-65,511.0
Zn-65,1115.539
Ga-66,511.0
Ga-66,833.5324
Ga-66,1039.22
Ga-66,1333.112
Ga-66,1918.329
Ga-66,2189.616
Ga-66,2422.525
Ga-66,2751.835
Ga-66,3228.8
Ga-66,3380.85
Ga-66,3791.004
Ga-66,4085.853
Ga-66,4295.187
Ga-66,4806.007
Ga-67,91.263
Ga-67,93.307
Ga-67,184.577
Ga-67,208.939
Ga-67,300.232
Ga-67,393.528
Ga-68,511.0
Ga-68,1077.34
Se-75,66.0518
Se-75,96.734
Se-75,121.1155
Se-75,136.0001
Se-75,198.606
Se-75,264.6576
Se-75,279.5422
Se-75,303.9236
Se-75,400.6572
Kr-85,514.0048
Sr-85,514.0048
Rb-86,1076.78
Rb-88,898.036
Rb-88,1836.052
Rb-88,2677.86
Y-88,898.036
Y-88,1836.052
Y-90m,202.53
Y-90m,479.51
Sr-92,241.52
Sr-92,430.56
Sr-92,953.32
Sr-92,1142.3
Sr-92,1384.94
Y-92,448.5
Y-92,561.1
Y-92,844.3
Y-92,934.5
Y-92,1405.4
Nb-95,765.803
Nb-95m,204.117
Nb-95m,235.69
Zr-95,724.193
Zr-95,756.729
Mo-99,40.58323
Mo-99,140.511
Mo-99,181.068
Mo-99,366.421
Mo-99,739.5
Mo-99,777.921
Tc-99m,140.511
Rh-106,511.8534
Rh-106,621.9
Rh-106,1050.39
Ag-108,632.98
Ag-108m,79.131
Ag-108m,433.938
Ag-108m,614.276
Ag-108m,722.907
Cd-109,88.0336
Pd-109,88.0336
Ag-110,657.76
Ag-110m,446.812
Ag-110m,620.3553
Ag-110m,657.76
Ag-110m,677.6217
Ag-110m,687.0091
Ag-110m,706.676
Ag-110m,744.2755
Ag-110m,763.9424
Ag-110m,818.0244
Ag-110m,884.6781
Ag-110m,937.485
Ag-110m,1384.2931
Ag-110m,1475.7792
Ag-110m,1505.028
Ag-110m,1562.294
In-111,171.28
In-111,245.35
In-113m,391.698
Sn-113,255.134
Sn-113,391.698
I-123,158.97
I-123,528.96
Te-123m,158.97
Sb-124,602.726
Sb-124,645.852
Sb-124,709.33
Sb-124,713.776
Sb-124,722.782
Sb-124,968.195
Sb-124,1045.125
Sb-124,1325.504
Sb-124,1355.2
Sb-124,1368.157
Sb-124,1436.554
Sb-124,1690.971
Sb-124,2090.93
I-125,35.4925
Sb-126,223.3
Sb-126,278.6
Sb-126,296.6
Sb-126,414.4
Sb-126,414.9
Sb-126,555.0
Sb-126,573.8
Sb-126,593.0
Sb-126,656.3
Sb-126,666.1
Sb-126,675.0
Sb-126,695.0
Sb-126,697.0
Sb-126,720.3
Sb-126,856.7
Sb-126,954.0
Sb-126,989.3
Sb-126,1034.9
Sb-126,1213.0
Sn-126,21.65
Sn-126,23.28
Sn-126,64.28
Sn-126,86.94
Sn-126,87.57
Sb-127,61.16
Sb-127,252.64
Sb-127,290.5
Sb-127,412.1
Sb-127,445.3
Sb-127,473.26
Sb-127,543.2
Sb-127,603.9
Sb-127,685.09
Sb-127,697.9
Sb-127,721.5
Sb-127,782.6
Xe-127,57.608
Xe-127,145.252
Xe-127,172.132
Xe-127,202.86
Xe-127,374.991
I-129,39.578
I-131,80.185
I-131,284.305
I-131,364.489
I-131,636.989
I-131,722.911
Xe-131m,163.93
Te-132,49.72
Te-132,111.81
Te-132,116.34
Te-132,228.327
Ba-133,53.1622
Ba-133,79.6142
Ba-133,80.9979
Ba-133,276.3989
Ba-133,302.8508
Ba-133,356.0129
Ba-133,383.8485
I-133,510.53
I-133,529.8709
I-133,706.575
I-133,856.278
I-133,875.328
I-133,1236.443
I-133,1298.227
Xe-133,80.9979
Xe-133m,233.219
Cs-134,475.365
Cs-134,563.246
Cs-134,569.33
Cs-134,604.72
Cs-134,795.86
Cs-134,801.95
Cs-134,1167.967
Cs-134,1365.194
Xe-135m,526.57
Cs-137,661.657
Ce-139,165.8575
Ba-140,13.849
Ba-140,29.9656
Ba-140,162.6628
Ba-140,304.872
Ba-140,423.721
Ba-140,437.569
Ba-140,537.303
La-140,328.761
La-140,432.513
La-140,487.022
La-140,751.653
La-140,815.781
La-140,867.839
La-140,919.533
La-140,925.198
La-140,1596.203
La-140,2521.39
Ce-141,145.4433
Ce-144,80.12
Ce-144,133.515
Pr-144,696.51
Nd-147,91.105
Nd-147,319.411
Nd-147,439.895
Nd-147,531.016
Eu-152,121.7817
Eu-152,244.6974
Eu-152,344.2785
Eu-152,411.1165
Eu-152,443.965
Eu-152,778.9045
Eu-152,867.38
Eu-152,964.079
Eu-152,1085.837
Eu-152,1089.737
Eu-152,1112.076
Eu-152,1212.948
Eu-152,1299.142
Eu-152,1408.013
Gd-153,69.673
Gd-153,97.431
Gd-153,103.18012
Sm-153,69.673
Sm-153,103.18012
Eu-154,123.0706
Eu-154,247.9288
Eu-154,591.755
Eu-154,692.4205
Eu-154,723.3014
Eu-154,756.802
Eu-154,873.1834
Eu-154,996.25
Eu-154,1004.718
Eu-154,1274.429
Eu-154,1596.4804
Eu-155,45.299
Eu-155,60.0086
Eu-155,86.5479
Eu-155,105.3083
Gd-159,58.0
Gd-159,363.543
Ho-166,80.5725
Ho-166m,80.5725
Ho-166m,184.4107
Ho-166m,215.871
Ho-166m,259.736
Ho-166m,280.463
Ho-166m,300.741
Ho-166m,365.768
Ho-166m,410.956
Ho-166m,451.54
Ho-166m,464.798
Ho-166m,529.825
Ho-166m,570.995
Ho-166m,611.579
Ho-166m,670.526
Ho-166m,691.253
Ho-166m,711.697
Ho-166m,752.28
Ho-166m,778.827
Ho-166m,810.286
Ho-166m,830.565
Ho-166m,950.988
Yb-169,63.12044
Yb-169,93.61447
Yb-169,109.77924
Yb-169,118.1894
Yb-169,130.52293
Yb-169,177.21307
Yb-169,197.95675
Yb-169,261.07712
Yb-169,307.73757
Tm-170,84.25474
Lu-176,88.36
Lu-176,201.83
Lu-176,306.84
Lu-177,112.9498
Lu-177,208.3662
Ta-178,93.13
Ta-178,511.0
Ta-178,1340.85
Ta-178,1350.55
Ta-182,65.72215
Ta-182,67.7497
Ta-182,84.68024
Ta-182,100.10595
Ta-182,113.6717
Ta-182,152.42991
Ta-182,156.3864
Ta-182,179.39381
Ta-182,198.35187
Ta-182,222.1085
Ta-182,229.3207
Ta-182,264.074
Ta-182,1001.6856
Ta-182,1121.29
Ta-182,1189.04
Ta-182,1221.395
Ta-182,1231.004
Ta-182,1257.407
Ta-182,1289.145
Re-186,137.157
Re-188,155.041
Re-188,477.992
Re-188,632.981
Ir-192,205.7943
Ir-192,295.9565
Ir-192,308.45507
Ir-192,316.50618
Ir-192,468.0688
Ir-192,484.5751
Ir-192,588.581
Ir-192,604.41105
Ir-192,612.4621
Ir-194,293.541
Ir-194,328.448
Ir-194,645.146
Au-195,98.882
Au-198,411.80205
Tl-201,135.312
Tl-201,167.45
Hg-203,279.1952
Pb-203,279.1952
Pb-203,401.32
Hg-206,304.896
Hg-206,649.42
Bi-207,569.698
Bi-207,1063.656
Bi-207,1770.228
Tl-208,277.37
Tl-208,510.74
Tl-208,583.187
Tl-208,763.45
Tl-208,860.53
Tl-208,2614.511
Tl-209,117.224
Tl-209,465.128
Tl-209,1566.93
Pb-210,46.539
Tl-210,83.0
Tl-210,97.0
Tl-210,296.0
Tl-210,356.0
Tl-210,382.0
Tl-210,480.0
Tl-210,670.0
Tl-210,799.6
Tl-210,860.0
Tl-210,910.0
Tl-210,1070.0
Tl-210,1110.0
Tl-210,1210.0
Tl-210,1310.0
Tl-210,1410.0
Tl-210,1490.0
Tl-210,1540.0
Tl-210,1590.0
Tl-210,1650.0
Tl-210,2010.0
Tl-210,2090.0
Tl-210,2280.0
Tl-210,2360.0
Tl-210,2430.0
Bi-211,351.03
Pb-211,404.834
Pb-211,427.15
Pb-211,831.984
Bi-212,39.858
Bi-212,727.33
Bi-212,785.37
Bi-212,1620.738
Pb-212,238.632
Pb-212,300.089
Bi-213,440.44
Bi-214,609.312
Bi-214,665.453
Bi-214,768.356
Bi-214,806.174
Bi-214,934.061
Bi-214,1120.287
Bi-214,1155.19
Bi-214,1238.111
Bi-214,1280.96
Bi-214,1377.669
Bi-214,1401.5
Bi-214,1407.98
Bi-214,1509.228
Bi-214,1661.28
Bi-214,1729.595
Bi-214,1764.494
Bi-214,1847.42
Bi-214,2118.55
Bi-214,2204.21
Bi-214,2447.86
Pb-214,53.2275
Pb-214,241.997
Pb-214,295.224
Pb-214,351.932
Pb-214,785.96
Bi-215,271.228
Bi-215,293.56
Bi-215,517.6
Bi-215,1105.2
Rn-219,271.228
Rn-219,401.81
Fr-221,218.12
Fr-223,20.27
Fr-223,49.8
Fr-223,50.1
Fr-223,79.65
Fr-223,234.7
Ra-223,122.319
Ra-223,144.27
Ra-223,154.208
Ra-223,269.463
Ra-223,323.871
Ra-223,338.282
Ra-223,445.033
Ra-224,240.986
Ac-225,99.89
Ra-225,40.09
Ra-226,186.211
Ac-228,99.505
Ac-228,129.065
Ac-228,209.248
Ac-228,270.245
Ac-228,328.004
Ac-228,338.32
Ac-228,409.46
Ac-228,463.002
Ac-228,755.313
Ac-228,772.291
Ac-228,794.942
Ac-228,835.704
Ac-228,911.196
Ac-228,964.786
Ac-228,968.96
Ac-228,1588.2
Ac-228,1630.618
Ra-228,13.52
Th-228,84.373
Pa-231,27.37
Pa-231,283.69
Pa-231,300.06
Pa-231,302.67
Pa-231,330.04
Th-231,25.64
Th-231,84.214
Th-231,89.95
Pa-233,75.269
Pa-233,86.595
Pa-233,300.129
Pa-233,311.904
Pa-233,340.476
Pa-233,398.492
Pa-233,415.764
Th-233,29.373
Th-233,86.477
Pa-234,62.7
Pa-234,99.86
Pa-234,131.3
Pa-234,152.71
Pa-234,186.15
Pa-234,203.12
Pa-234,226.5
Pa-234,227.25
Pa-234,249.22
Pa-234,272.28
Pa-234,293.79
Pa-234,369.5
Pa-234,372.0
Pa-234,458.68
Pa-234,506.75
Pa-234,565.2
Pa-234,568.9
Pa-234,569.5
Pa-234,666.5
Pa-234,669.7
Pa-234,692.6
Pa-234,699.03
Pa-234,705.9
Pa-234,733.39
Pa-234,738.0
Pa-234,742.813
Pa-234,755.0
Pa-234,786.272
Pa-234,796.1
Pa-234,805.8
Pa-234,819.2
Pa-234,824.2
Pa-234,825.1
Pa-234,831.5
Pa-234,876.0
Pa-234,880.52
Pa-234,880.52
Pa-234,883.24
Pa-234,898.67
Pa-234,925.0
Pa-234,926.0
Pa-234,926.7
Pa-234,946.0
Pa-234,947.7
Pa-234,980.3
Pa-234,980.3
Pa-234,984.2
Pa-234,1352.9
Pa-234,1393.9
Th-234,63.3
Th-234,92.38
Th-234,92.8
U-235,109.19
U-235,143.767
U-235,163.356
U-235,185.72
U-235,202.12
U-235,205.316
Np-236,104.234
Np-236,158.35
Np-236,160.307
Np-236m,642.35
Np-237,29.374
Np-237,86.477
U-237,26.34463
U-237,59.54091
U-237,64.83
U-237,164.61
U-237,208.0
U-237,332.376
Np-238,923.99
Np-238,984.45
Np-238,1025.87
Np-238,1028.54
Np-239,61.46
Np-239,106.125
Np-239,209.753
Np-239,228.183
Np-239,277.599
Np-239,315.88
Np-239,334.31
U-239,43.533
U-239,74.664
Am-241,26.3446
Am-241,59.5409
Am-243,43.53
Am-243,74.66
Cm-243,209.753
Cm-243,228.183
Cm-243,277.599
Am-244,99.383
Am-244,153.863
Am-244,743.977
Am-244,897.84
Cm-245,133.081
Cm-245,175.0523
